date,var,type,number
2016/11/22,产品,产品类型05,0
2016/11/23,产品,产品类型05,1
2016/11/24,产品,产品类型05,0
2016/11/25,产品,产品类型05,0
2016/11/26,产品,产品类型05,0
2016/11/27,产品,产品类型05,0
2016/11/28,产品,产品类型05,0
2016/11/29,产品,产品类型05,0
2016/11/30,产品,产品类型05,0
2016/10/2,车型,车型01,26696
2016/10/3,车型,车型01,24707
2016/10/4,车型,车型01,23768
2016/10/5,车型,车型01,25739
2016/10/6,车型,车型01,29536
2016/10/7,车型,车型01,30967
2016/10/8,车型,车型01,39149
2016/10/9,车型,车型01,42381
2016/10/10,车型,车型01,48616
2016/10/11,车型,车型01,49757
2016/10/12,车型,车型01,51238
2016/10/13,车型,车型01,52184
2016/10/14,车型,车型01,53172
2016/10/15,车型,车型01,44330
2016/10/16,车型,车型01,38571
2016/10/17,车型,车型01,48505
2016/10/18,车型,车型01,49563
2016/10/19,车型,车型01,50838
2016/10/20,车型,车型01,50709
2016/10/21,车型,车型01,51444
2016/10/22,车型,车型01,42629
2016/10/23,车型,车型01,38436
2016/10/24,车型,车型01,45651
2016/10/25,车型,车型01,47723
2016/10/26,车型,车型01,47244
2016/10/27,车型,车型01,48655
2016/10/28,车型,车型01,62013
2016/10/29,车型,车型01,39485
2016/10/30,车型,车型01,35932
2016/10/31,车型,车型01,52734
2016/11/1,车型,车型01,44299
2016/11/2,车型,车型01,45021
2016/11/3,车型,车型01,46511
2016/11/4,车型,车型01,52068
2016/11/5,车型,车型01,43642
2016/11/6,车型,车型01,41075
2016/11/7,车型,车型01,47169
2016/11/8,车型,车型01,43734
2016/11/9,车型,车型01,51896
2016/11/10,车型,车型01,54074
2016/11/11,车型,车型01,54455
2016/11/12,车型,车型01,47368
2016/11/13,车型,车型01,42174
2016/11/14,车型,车型01,52832
2016/11/15,车型,车型01,53569
2016/11/16,车型,车型01,52532
2016/11/17,车型,车型01,53760
2016/11/18,车型,车型01,57156
2016/11/19,车型,车型01,49548
2016/11/20,车型,车型01,46087
2016/11/21,车型,车型01,54456
2016/11/22,车型,车型01,56984
2016/11/23,车型,车型01,58909
2016/11/24,车型,车型01,59679
2016/11/25,车型,车型01,60936
2016/11/26,车型,车型01,49752
2016/11/27,车型,车型01,47294
2016/11/28,车型,车型01,57138
2016/11/29,车型,车型01,60125
2016/11/30,车型,车型01,74550
2016/10/2,车型,车型02,8175
2016/10/3,车型,车型02,7663
2016/10/4,车型,车型02,7409
2016/10/5,车型,车型02,8058
2016/10/6,车型,车型02,9263
2016/10/7,车型,车型02,9886
2016/10/8,车型,车型02,12409
2016/10/9,车型,车型02,13328
2016/10/10,车型,车型02,15859
2016/10/11,车型,车型02,16642
2016/10/12,车型,车型02,17303
2016/10/13,车型,车型02,17874
2016/10/14,车型,车型02,18371
2016/10/15,车型,车型02,14639
2016/10/16,车型,车型02,13535
2016/10/17,车型,车型02,18194
2016/10/18,车型,车型02,18970
2016/10/19,车型,车型02,19811
2016/10/20,车型,车型02,20320
2016/10/21,车型,车型02,20762
2016/10/22,车型,车型02,15206
2016/10/23,车型,车型02,14143
2016/10/24,车型,车型02,18000
2016/10/25,车型,车型02,18829
2016/10/26,车型,车型02,19364
2016/10/27,车型,车型02,20984
2016/10/28,车型,车型02,25872
2016/10/29,车型,车型02,15068
2016/10/30,车型,车型02,13591
2016/10/31,车型,车型02,22465
2016/11/1,车型,车型02,19421
2016/11/2,车型,车型02,19449
2016/11/3,车型,车型02,19949
2016/11/4,车型,车型02,20540
2016/11/5,车型,车型02,14685
2016/11/6,车型,车型02,14058
2016/11/7,车型,车型02,18933
